# This is a dataset entirely contained in the square [0, 1] x [0, 1]
# with the "country" A completely surrounded by the "country" B.
# The "country" A has 100 points, while the "country" B has 200.
n 3
a X position
a Y position
c Category

0.332000,0.746000,A
0.270000,0.712000,A
0.210000,0.652000,A
0.186000,0.572000,A
0.188000,0.484000,A
0.222000,0.378000,A
0.298000,0.310000,A
0.410000,0.290000,A
0.516000,0.280000,A
0.610000,0.288000,A
0.710000,0.322000,A
0.760000,0.398000,A
0.798000,0.494000,A
0.776000,0.568000,A
0.720000,0.660000,A
0.636000,0.714000,A
0.524000,0.746000,A
0.408000,0.750000,A
0.492000,0.782000,A
0.610000,0.760000,A
0.680000,0.734000,A
0.776000,0.638000,A
0.448000,0.254000,A
0.356000,0.286000,A
0.284000,0.380000,A
0.270000,0.530000,A
0.296000,0.644000,A
0.406000,0.686000,A
0.590000,0.664000,A
0.676000,0.580000,A
0.686000,0.476000,A
0.604000,0.390000,A
0.482000,0.378000,A
0.382000,0.406000,A
0.360000,0.544000,A
0.436000,0.632000,A
0.536000,0.652000,A
0.538000,0.652000,A
0.612000,0.566000,A
0.612000,0.472000,A
0.538000,0.444000,A
0.428000,0.464000,A
0.428000,0.560000,A
0.536000,0.588000,A
0.532000,0.532000,A
0.496000,0.522000,A
0.346000,0.612000,A
0.250000,0.580000,A
0.342000,0.472000,A
0.266000,0.450000,A
0.370000,0.336000,A
0.536000,0.348000,A
0.614000,0.358000,A
0.674000,0.388000,A
0.742000,0.488000,A
0.740000,0.580000,A
0.656000,0.632000,A
0.600000,0.616000,A
0.578000,0.708000,A
0.470000,0.678000,A
0.472000,0.724000,A
0.558000,0.768000,A
0.342000,0.708000,A
0.296000,0.676000,A
0.372000,0.760000,A
0.436000,0.776000,A
0.716000,0.698000,A
0.752000,0.658000,A
0.762000,0.610000,A
0.796000,0.530000,A
0.778000,0.444000,A
0.734000,0.358000,A
0.674000,0.312000,A
0.644000,0.300000,A
0.574000,0.278000,A
0.486000,0.296000,A
0.452000,0.298000,A
0.486000,0.330000,A
0.414000,0.348000,A
0.446000,0.334000,A
0.424000,0.394000,A
0.460000,0.420000,A
0.498000,0.466000,A
0.546000,0.482000,A
0.608000,0.500000,A
0.670000,0.518000,A
0.744000,0.522000,A
0.730000,0.432000,A
0.670000,0.430000,A
0.602000,0.422000,A
0.540000,0.392000,A
0.576000,0.312000,A
0.670000,0.342000,A
0.394000,0.506000,A
0.446000,0.518000,A
0.486000,0.618000,A
0.402000,0.590000,A
0.308000,0.562000,A
0.294000,0.490000,A
0.328000,0.406000,A
0.240000,0.772000,B
0.188000,0.716000,B
0.148000,0.642000,B
0.140000,0.588000,B
0.138000,0.488000,B
0.152000,0.402000,B
0.180000,0.350000,B
0.230000,0.296000,B
0.290000,0.258000,B
0.374000,0.226000,B
0.484000,0.208000,B
0.548000,0.220000,B
0.626000,0.242000,B
0.706000,0.266000,B
0.750000,0.302000,B
0.790000,0.368000,B
0.814000,0.416000,B
0.836000,0.500000,B
0.844000,0.576000,B
0.836000,0.640000,B
0.798000,0.706000,B
0.758000,0.746000,B
0.618000,0.796000,B
0.546000,0.814000,B
0.490000,0.818000,B
0.406000,0.816000,B
0.338000,0.806000,B
0.306000,0.794000,B
0.176000,0.768000,B
0.130000,0.702000,B
0.096000,0.612000,B
0.084000,0.498000,B
0.102000,0.366000,B
0.144000,0.264000,B
0.226000,0.190000,B
0.334000,0.166000,B
0.456000,0.144000,B
0.572000,0.152000,B
0.712000,0.188000,B
0.788000,0.242000,B
0.860000,0.310000,B
0.882000,0.378000,B
0.928000,0.464000,B
0.936000,0.560000,B
0.936000,0.650000,B
0.912000,0.704000,B
0.854000,0.778000,B
0.742000,0.826000,B
0.642000,0.846000,B
0.432000,0.886000,B
0.310000,0.856000,B
0.222000,0.830000,B
0.546000,0.872000,B
0.526000,0.918000,B
0.378000,0.910000,B
0.228000,0.904000,B
0.116000,0.946000,B
0.040000,0.956000,B
0.182000,0.886000,B
